t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
0.000000000000000000e+00,1.197914746128240671e+00,1.197914755338850501e+00,1.197915667189039857e+00,1.198006850280395774e+00,1.207105731804013038e+00,1.483959584370741158e+00
1.000000000000000021e-02,1.197901639386893979e+00,1.197901648597785140e+00,1.197902560475822664e+00,1.197993746353327449e+00,1.207092919674761955e+00,1.484143342570434232e+00
2.000000000000000042e-02,1.197862336230525848e+00,1.197862345442257448e+00,1.197863257403495973e+00,1.197954451605047099e+00,1.207054496840180180e+00,1.484693677277721058e+00
2.999999999999999889e-02,1.197796888687850503e+00,1.197796897900971214e+00,1.197797809999735286e+00,1.197889017960430680e+00,1.206990504825940391e+00,1.485607769293779024e+00
4.000000000000000083e-02,1.197705386173612219e+00,1.197705395388652949e+00,1.197706307677568027e+00,1.197797534662527585e+00,1.206901015676832500e+00,1.486880921812870682e+00
5.000000000000000278e-02,1.197587959443896732e+00,1.197587968661364410e+00,1.197588881190704724e+00,1.197680132229910654e+00,1.206786136113820573e+00,1.488506564143650568e+00
5.999999999999999778e-02,1.197444785867594730e+00,1.197444795087969194e+00,1.197445707905033796e+00,1.197536987731001590e+00,1.206646013088267910e+00,1.490476258799320775e+00
7.000000000000000666e-02,1.197276095763062598e+00,1.197276104986791045e+00,1.197277018135316062e+00,1.197368331124386787e+00,1.206480840480428141e+00,1.492779713730649327e+00
8.000000000000000167e-02,1.197082179603422780e+00,1.197082188830895788e+00,1.197083102350519290e+00,1.197174452468515726e+00,1.206290866740807877e+00,1.495404802013489132e+00
8.999999999999999667e-02,1.196863395704955702e+00,1.196863404936531206e+00,1.196864318862288945e+00,1.196955709615328267e+00,1.206076403094552996e+00,1.498337591596644813e+00
1.000000000000000056e-01,1.196620177830532095e+00,1.196620187066512075e+00,1.196621101428412048e+00,1.196712535819545842e+00,1.205837831727623044e+00,1.501562388051246977e+00
1.100000000000000006e-01,1.196353042560781788e+00,1.196353051801419154e+00,1.196353966624068788e+00,1.196445447116421867e+00,1.205575613808969493e+00,1.505061793320800145e+00
1.199999999999999956e-01,1.196062595783513594e+00,1.196062605028996417e+00,1.196063520331309693e+00,1.196155048818273059e+00,1.205290296686161167e+00,1.508816783608634360e+00
1.300000000000000044e-01,1.195749537947976560e+00,1.195749547198428520e+00,1.195750462993402374e+00,1.195842040776397885e+00,1.204982519899197246e+00,1.512806809034892730e+00
1.400000000000000133e-01,1.195414667418547960e+00,1.195414676674050547e+00,1.195415592968613661e+00,1.195507220742803023e+00,1.204653019331587638e+00,1.517009917409678721e+00
1.499999999999999944e-01,1.195058881736654754e+00,1.195058890997208412e+00,1.195059807792173245e+00,1.195151485640221667e+00,1.204302629280454617e+00,1.521402903601114520e+00
1.600000000000000033e-01,1.194683176249948131e+00,1.194683185515504453e+00,1.194684102805575243e+00,1.194775830199675593e+00,1.203932281917231117e+00,1.525961484901610987e+00
1.700000000000000122e-01,1.194288639564334176e+00,1.194288648834792577e+00,1.194289566608666364e+00,1.194381342420483438e+00,1.203543003537048239e+00,1.530660501575311860e+00
1.799999999999999933e-01,1.193876446021635118e+00,1.193876455296791983e+00,1.193877373537354014e+00,1.193969196055425286e+00,1.203135907787268977e+00,1.535474140208692884e+00
1.900000000000000022e-01,1.193447844468277452e+00,1.193447853747919618e+00,1.193448772432451843e+00,1.193540639386653890e+00,1.202712185152340130e+00,1.540376175985042506e+00
2.000000000000000111e-01,1.193004142994387395e+00,1.193004152278232866e+00,1.193005071378737458e+00,1.193096979970164950e+00,1.202273088240433996e+00,1.545340228338548672e+00
2.099999999999999922e-01,1.192546690904734419e+00,1.192546700192438802e+00,1.192547619675980997e+00,1.192639566611328528e+00,1.201819914213672291e+00,1.550340023300471604e+00
2.200000000000000011e-01,1.192076856224318249e+00,1.192076865515538708e+00,1.192077785344593632e+00,1.192169766873123482e+00,1.201353982562135991e+00,1.555349654622810052e+00
2.300000000000000100e-01,1.191596000242476361e+00,1.191596009536767475e+00,1.191596929669630267e+00,1.191688941620073994e+00,1.200876609647490545e+00,1.560343835177489646e+00
2.399999999999999911e-01,1.191105449305926767e+00,1.191105458602773615e+00,1.191106378993897152e+00,1.191198416809255090e+00,1.200389080293115418e+00,1.565298130378388608e+00
2.500000000000000000e-01,1.190606462356442963e+00,1.190606471655436760e+00,1.190607392255659258e+00,1.190699451022775746e+00,1.199892614812902991e+00,1.570189165538903753e+00
2.600000000000000089e-01,1.190100197645308944e+00,1.190100206945879258e+00,1.190101127702724693e+00,1.190193202171774711e+00,1.199388334706352532e+00,1.574994800434342146e+00
2.700000000000000178e-01,1.189587676217149337e+00,1.189587685518752602e+00,1.189588606376430935e+00,1.189680690968240251e+00,1.198877224938001751e+00,1.579694265715411383e+00
2.800000000000000266e-01,1.189069743543255342e+00,1.189069752845265837e+00,1.189070673744604401e+00,1.189162762539557772e+00,1.198360093717940611e+00,1.584268257665704116e+00
2.899999999999999800e-01,1.188547028994058730e+00,1.188547038295858727e+00,1.188547959173930968e+00,1.188640045878546880e+00,1.197837529732420192e+00,1.588698989614129697e+00
2.999999999999999889e-01,1.188019902263772298e+00,1.188019911564676123e+00,1.188020832354207634e+00,1.188112910238956710e+00,1.197309855672930690e+00,1.592970200267298519e+00
3.099999999999999978e-01,1.187488426680787468e+00,1.187488435980069257e+00,1.187489356608457447e+00,1.187581418411268963e+00,1.196777078087000845e+00,1.597067120576622923e+00
3.200000000000000067e-01,1.186952306688838110e+00,1.186952315985683626e+00,1.186953236373630816e+00,1.187045274161813824e+00,1.196238830659232422e+00,1.600976402072298299e+00
3.300000000000000155e-01,1.186410827203159046e+00,1.186410836496690546e+00,1.186411756556317032e+00,1.186503761539530633e+00,1.195694308619898116e+00,1.604686010555312237e+00
3.400000000000000244e-01,1.185862780841089537e+00,1.185862790130307598e+00,1.185863709762712048e+00,1.185955672047773302e+00,1.195142190083068101e+00,1.608185088820428543e+00
3.500000000000000333e-01,1.185306376946363871e+00,1.185306386230124520e+00,1.185307305322247595e+00,1.185399213599762192e+00,1.194580538162539396e+00,1.611463792625884128e+00
3.599999999999999867e-01,1.184739124657538945e+00,1.184739133934516353e+00,1.184740052355198969e+00,1.184831893505555289e+00,1.194006675854342392e+00,1.614513103029561414e+00
3.699999999999999956e-01,1.184157677884112525e+00,1.184157687152749272e+00,1.184158604747834520e+00,1.184250363351295965e+00,1.193417021273785350e+00,1.617324618245941981e+00
3.800000000000000044e-01,1.183557627708121229e+00,1.183557636966571902e+00,1.183558553552854331e+00,1.183650211284664522e+00,1.192806868366140804e+00,1.619890325965260836e+00
3.900000000000000133e-01,1.182933219945455194e+00,1.182933229191494240e+00,1.182934144549278477e+00,1.183025679434835720e+00,1.192170090235445068e+00,1.622202357396532957e+00
