t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
0.000000000000000000e+00,5.903017667099742516e-01,5.903017761037013811e-01,5.903027060825156713e-01,5.903957022666134202e-01,5.996781925296128524e-01,9.588773120453673027e-01
1.000000000000000021e-02,5.901412228708984298e-01,5.901412322607045846e-01,5.901421618513414957e-01,5.902351192220379739e-01,5.995137719777914320e-01,9.589751029954522998e-01
2.000000000000000042e-02,5.896596465506505069e-01,5.896596559286979566e-01,5.896605843552285009e-01,5.897534253282255001e-01,5.990205693950820809e-01,9.592681656014989677e-01
2.999999999999999889e-02,5.888572034701151647e-01,5.888572128285791685e-01,5.888581393163513367e-01,5.889507864349438071e-01,5.981987621427622415e-01,9.597555656806957547e-01
4.000000000000000083e-02,5.877341702643787968e-01,5.877341795954561521e-01,5.877351033719490081e-01,5.878274793923434771e-01,5.970486462992979915e-01,9.604357347746749207e-01
5.000000000000000278e-02,5.862909351298536409e-01,5.862909444257711211e-01,5.862918647214527823e-01,5.863838926984743516e-01,5.955706373715987656e-01,9.613064530228663251e-01
5.999999999999999778e-02,5.845279987260707522e-01,5.845280079790944328e-01,5.845289240282853793e-01,5.846205274016240683e-01,5.937652712855873149e-01,9.623648253369896377e-01
7.000000000000000666e-02,5.824459753306047149e-01,5.824459845330480778e-01,5.824468955747906795e-01,5.825379982559085734e-01,5.916332056514238547e-01,9.636072510538093994e-01
8.000000000000000167e-02,5.800455942361663064e-01,5.800456033803994549e-01,5.800465086593357134e-01,5.801370351191746932e-01,5.891752212940433164e-01,9.650293873572762804e-01
8.999999999999999667e-02,5.773277013857575080e-01,5.773277104642159374e-01,5.773286092314747764e-01,5.774184845891012774e-01,5.863922240425658572e-01,9.666261067691565012e-01
1.000000000000000056e-01,5.742932612429381134e-01,5.742932702481322593e-01,5.742941617622262518e-01,5.743833118744836597e-01,5.832852467690881060e-01,9.683914489416991511e-01
1.100000000000000006e-01,5.709433588821031247e-01,5.709433678066269113e-01,5.709442513343602199e-01,5.710326028866050674e-01,5.798554516629352840e-01,9.703185674383791870e-01
1.199999999999999956e-01,5.672792022855059901e-01,5.672792111220463784e-01,5.672800859394346862e-01,5.673675665374631194e-01,5.761041327273209722e-01,9.723996718457982302e-01
1.300000000000000044e-01,5.633021248405037928e-01,5.633021335818503283e-01,5.633029989750523159e-01,5.633895372382776712e-01,5.720327184856880409e-01,9.746259660162288618e-01
